_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
13,0014,BLOOR ST E,None,TED ROGERS WAY,None,250 BLOOR ST E,None,1951-03-27T23:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,13,8536222,13463195,1,,,,13,,,,,,2023-12-19T00:00:00,2023-12-19T00:00:00,None,"{""coordinates"": [[-79.38056599777318, 43.6716099990184]], ""type"": ""MultiPoint""}"
14,0015,CHURCH ST,None,FRONT ST E,WELLINGTON ST E,None,None,1950-04-23T23:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Fixed Time,4,14,14254940,14254942,1,,,,14,,,,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,None,"{""coordinates"": [[-79.37378599818705, 43.64844200138915]], ""type"": ""MultiPoint""}"
15,0016,KING ST E,None,CHURCH ST,None,None,None,1928-01-10T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,15,14036413,13466729,1,1,,,15,,,,,,2022-04-13T00:00:00,2022-04-13T00:00:00,None,"{""coordinates"": [[-79.37441199642254, 43.64992100253796]], ""type"": ""MultiPoint""}"
16,0017,CHURCH ST,None,ADELAIDE ST E,None,None,None,1948-11-22T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,16,8313231,13466516,,,,,16,1,,,,,2022-04-13T00:00:00,2022-04-13T00:00:00,Removed north and south leg LPI on 2023-08-21 due to added EB left-turn phase (bike signal installation),"{""coordinates"": [[-79.37494600398165, 43.65118500084233]], ""type"": ""MultiPoint""}"
17,0018,CHURCH ST,None,RICHMOND ST E,None,None,None,1948-11-22T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,17,8313131,13466312,,,,,17,,,,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,None,"{""coordinates"": [[-79.37547599453892, 43.65246599556191]], ""type"": ""MultiPoint""}"
18,0019,QUEEN ST E,None,CHURCH ST,None,None,None,1983-08-24T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,18,14036376,13466199,1,1,,,18,,,,,,2020-08-05T00:00:00,2020-08-05T00:00:00,NS Leading Pedestrian Interval - NSWK comes up 5 seconds before NS vehicle green,"{""coordinates"": [[-79.37577300476386, 43.65316800144887]], ""type"": ""MultiPoint""}"
19,0020,CHURCH ST,None,SHUTER ST,None,None,None,1948-11-18T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,19,7642433,13465946,,,,,19,,,,2018-10-16T00:00:00,2018-10-16T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,East & West: Crosswalk,"{""coordinates"": [[-79.37646099976334, 43.65482900187331]], ""type"": ""MultiPoint""}"
20,0021,DUNDAS ST E,None,CHURCH ST,None,None,None,1952-12-17T00:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,20,1144608,13465671,1,1,,,20,,,,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,2022-04-13T00:00:00,None,"{""coordinates"": [[-79.37714800595033, 43.656500996264775]], ""type"": ""MultiPoint""}"
21,0022,CHURCH ST,None,GERRARD ST E,None,None,None,1941-07-18T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,21,7642005,13465140,1,,,,21,,,,2018-07-17T00:00:00,2018-07-17T00:00:00,,,East & West: Crosswalk,"{""coordinates"": [[-79.37853500260262, 43.65985700179503]], ""type"": ""MultiPoint""}"
22,0023,CHURCH ST,None,CARLTON ST,None,None,None,1932-02-17T00:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,22,7730328,13464821,,,,,22,,,1,2022-04-29T00:00:00,2022-04-29T00:00:00,2022-04-29T00:00:00,2022-04-29T00:00:00,None,"{""coordinates"": [[-79.37937399836817, 43.6618750013235]], ""type"": ""MultiPoint""}"
23,0024,CHURCH ST,None,WELLESLEY ST E,None,None,None,1941-07-18T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,23,7731514,13464212,,,,,23,,,,2022-04-12T00:00:00,2022-04-12T00:00:00,2022-04-12T00:00:00,2022-04-12T00:00:00,None,"{""coordinates"": [[-79.38095900029587, 43.66572199894831]], ""type"": ""MultiPoint""}"
24,0025,BLOOR ST E,None,CHURCH ST,None,None,None,1932-02-19T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,24,6522404,13463285,1,,,,24,,,,2023-03-16T00:00:00,2023-03-16T00:00:00,2023-03-16T00:00:00,2023-03-16T00:00:00,None,"{""coordinates"": [[-79.38315999977524, 43.67104600126707]], ""type"": ""MultiPoint""}"
25,0026,ADELAIDE ST E,None,VICTORIA ST,None,None,None,1928-09-27T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,25,14036811,13466609,,,,,25,1,,,,,,,None,"{""coordinates"": [[-79.37724499665399, 43.65066899637987]], ""type"": ""MultiPoint""}"
26,0027,VICTORIA ST,None,RICHMOND ST E,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,26,6624518,13466399,1,,,,26,,,,2023-10-05T00:00:00,2023-10-05T00:00:00,2023-10-05T00:00:00,2023-10-05T00:00:00,None,"{""coordinates"": [[-79.37775900082354, 43.651962997434154]], ""type"": ""MultiPoint""}"
27,0028,QUEEN ST E,None,VICTORIA ST,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,0.8 m/s (FDW based on full crossing @ 1.0 m/s),Pushbutton Actuated,4,27,11272989,13466287,1,1,,,27,,1,1,2021-09-29T00:00:00,2021-09-29T00:00:00,2021-09-29T00:00:00,2021-09-29T00:00:00,None,"{""coordinates"": [[-79.37809099757519, 43.652682002327545]], ""type"": ""MultiPoint""}"
28,0029,YONGE ST,None,FRONT ST,None,None,None,1928-08-24T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,28,1146204,13467239,,,,,28,,,,2020-10-08T00:00:00,2020-10-08T00:00:00,,,None,"{""coordinates"": [[-79.37697399692091, 43.64688400103595]], ""type"": ""MultiPoint""}"
29,0030,YONGE ST,None,WELLINGTON ST,None,None,None,1964-01-06T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,29,30138348,13467080,1,,,,29,,,,,,,,None,"{""coordinates"": [[-79.37733652993137, 43.64783203632949]], ""type"": ""MultiPoint""}"
30,0031,YONGE ST,None,KING ST,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,30,8677261,13466851,,,,,30,,,1,2020-10-08T00:00:00,,2020-10-08T00:00:00,2020-10-08T00:00:00,LPI implemented only for east & west crosswalks. LPI checkbox doesn't get checked unless date entered in for north or south crosswalk.,"{""coordinates"": [[-79.37791800251752, 43.649148000999304]], ""type"": ""MultiPoint""}"
31,0032,YONGE ST,None,ADELAIDE ST,None,None,None,1928-01-10T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,31,14036810,13466653,,,,,31,1,,,,,2024-06-13T00:00:00,2024-06-13T00:00:00,2024-06-13: LPI not activated on north and south legs due to EB left-turn phase,"{""coordinates"": [[-79.37846999990198, 43.65040699747505]], ""type"": ""MultiPoint""}"
32,0033,YONGE ST,None,RICHMOND ST,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,32,8676918,13466444,,,,,32,,,,2022-06-16T00:00:00,2022-06-16T00:00:00,2022-06-16T00:00:00,2022-06-16T00:00:00,None,"{""coordinates"": [[-79.37898399663129, 43.65169200071862]], ""type"": ""MultiPoint""}"
33,0034,YONGE ST,None,QUEEN ST,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,33,11226820,13466322,1,,,,33,,,,,,,,None,"{""coordinates"": [[-79.37925799461387, 43.65243899807519]], ""type"": ""MultiPoint""}"
34,0035,YONGE ST,None,SHUTER ST,None,PARKING GARAGE,None,1959-03-11T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,34,7762738,13466083,,,,,34,,,,,,,,None,"{""coordinates"": [[-79.37997300564999, 43.65406200239812]], ""type"": ""MultiPoint""}"
35,0036,YONGE ST,None,DUNDAS ST,None,None,None,1927-04-03T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,35,7762832,13465714,1,,,,35,,,,,,,,None,"{""coordinates"": [[-79.3809259970283, 43.65632800043037]], ""type"": ""MultiPoint""}"
36,0037,YONGE ST,None,GERRARD ST,None,None,None,1929-07-09T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,36,7730086,13465263,,,,,36,,,,2020-12-22T00:00:00,2020-12-22T00:00:00,2020-12-22T00:00:00,2020-12-22T00:00:00,None,"{""coordinates"": [[-79.38211700619114, 43.65909499825776]], ""type"": ""MultiPoint""}"
37,0038,YONGE ST,None,CARLTON ST,COLLEGE ST,None,None,1932-02-18T00:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,37,7754955,13464913,1,,,,37,,,1,,,,,None,"{""coordinates"": [[-79.38311000015409, 43.661370999831774]], ""type"": ""MultiPoint""}"
38,0039,YONGE ST,None,WELLESLEY ST,None,None,None,1948-09-29T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,38,1143164,13464342,,,,,38,,,,,,,,None,"{""coordinates"": [[-79.38459499421623, 43.664937003378895]], ""type"": ""MultiPoint""}"
39,0040,BLOOR ST,None,YONGE ST,None,None,None,1925-08-28T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,39,10759265,13463436,1,,,,39,,,,,,,,None,"{""coordinates"": [[-79.38678799432049, 43.67022600337403]], ""type"": ""MultiPoint""}"
40,0041,YONGE ST,None,CHURCH ST,DAVENPORT RD,None,None,1932-12-03T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,40,8677192,13463015,1,,,,40,1,,,,,,,None,"{""coordinates"": [[-79.38786600103273, 43.67287299700046]], ""type"": ""MultiPoint""}"
41,0042,YONGE ST,None,AYLMER AVE,BELMONT ST,None,None,1963-11-19T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,41,8680055,13462557,,,,,41,,,,,,2023-08-22T00:00:00,2023-08-22T00:00:00,None,"{""coordinates"": [[-79.38898699847613, 43.67558799897254]], ""type"": ""MultiPoint""}"
42,0043,YONGE ST,None,CRESCENT RD,None,None,None,1957-10-16T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,42,30078035,13462319,1,,,,42,,,,2023-08-22T00:00:00,2023-08-22T00:00:00,2023-08-22T00:00:00,2023-08-22T00:00:00,None,"{""coordinates"": [[-79.38953099765408, 43.676962001330814]], ""type"": ""MultiPoint""}"
43,0044,YONGE ST,None,MACPHERSON AVE,ROWANWOOD AVE,None,None,1948-04-09T23:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,43,10759182,13461921,1,,,,43,,,,2020-10-30T00:00:00,2020-10-30T00:00:00,2020-10-30T00:00:00,2020-10-30T00:00:00,None,"{""coordinates"": [[-79.39043200083867, 43.679145003720286]], ""type"": ""MultiPoint""}"
44,0045,YONGE ST,None,SHAFTESBURY AVE,ALCORN AVE,None,None,1955-12-05T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,44,8681095,13461419,,,,,44,,,,2023-08-22T00:00:00,2023-08-22T00:00:00,2023-08-22T00:00:00,2023-08-22T00:00:00,None,"{""coordinates"": [[-79.39155499874003, 43.68197299991637]], ""type"": ""MultiPoint""}"
45,0046,YONGE ST,None,ST CLAIR AVE,None,None,None,1927-04-04T23:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,45,8741191,13460295,1,1,,,45,,,1,,,,,None,"{""coordinates"": [[-79.39414099522072, 43.68808299899772]], ""type"": ""MultiPoint""}"
46,0047,YONGE ST,None,CHAPLIN CRES,DAVISVILLE AVE,None,None,1930-06-14T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,46,7273833,13458407,1,,,,46,,,,2021-08-19T00:00:00,2021-08-19T00:00:00,2023-03-16T00:00:00,2023-03-16T00:00:00,Dynamic LPI on east/west crosswalk,"{""coordinates"": [[-79.39664199463374, 43.69830099913367]], ""type"": ""MultiPoint""}"
47,0048,YONGE ST,None,MANOR RD,None,None,None,1956-12-11T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,47,7274839,13457785,,,,,47,,,,2022-09-20T00:00:00,2022-09-20T00:00:00,2022-09-20T00:00:00,2022-09-20T00:00:00,None,"{""coordinates"": [[-79.39750499510848, 43.70251199963758]], ""type"": ""MultiPoint""}"
48,0049,YONGE ST,None,EGLINTON AVE,None,None,None,1929-08-21T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,48,14230407,13457078,1,,,,48,,,,,,,,None,"{""coordinates"": [[-79.39836600535115, 43.70673099988518]], ""type"": ""MultiPoint""}"
49,0050,YONGE ST,None,BROADWAY AVE,MONTGOMERY AVE,None,None,1957-02-12T00:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,49,8535805,13456650,1,,1,,49,,,,,,,,"LPI removed on April 18, 2023 (Fire PE Location)","{""coordinates"": [[-79.39899699797695, 43.70958299928206]], ""type"": ""MultiPoint""}"
50,0051,YONGE ST,None,CASTLEFIELD AVE,None,None,None,1929-08-21T00:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,50,8540403,13456266,1,,,,50,,,,,,2020-05-01T00:00:00,2020-05-01T00:00:00,EW LPI,"{""coordinates"": [[-79.39947600373758, 43.71183800446144]], ""type"": ""MultiPoint""}"
51,0052,YONGE ST,None,BLYTHWOOD RD,LYTTON BLVD,None,None,1954-08-12T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,51,8566211,13455496,1,,,,51,,,,,,,,None,"{""coordinates"": [[-79.40048100471502, 43.71660499690904]], ""type"": ""MultiPoint""}"
52,0053,YONGE ST,None,GLENGROVE AVE,None,None,None,1961-07-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,52,8566492,13455032,1,,,,52,,,,,,,,None,"{""coordinates"": [[-79.4011409943589, 43.71954699929763]], ""type"": ""MultiPoint""}"
53,0054,YONGE ST,None,CHATSWORTH DR,ST EDMUNDS DR,None,None,1930-07-17T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,53,30089551,13454680,1,,,,53,,,,,,,,None,"{""coordinates"": [[-79.4015949996667, 43.72196999633007]], ""type"": ""MultiPoint""}"
54,0055,YONGE ST,None,LAWRENCE AVE,None,None,None,1941-01-03T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,54,10133844,13454250,1,,,,54,,,,2025-12-10T00:00:00,2025-12-10T00:00:00,2025-12-10T00:00:00,2025-12-10T00:00:00,None,"{""coordinates"": [[-79.40219499417361, 43.72510100030655]], ""type"": ""MultiPoint""}"
55,0056,YONGE ST,None,RANLEIGH AVE,None,None,None,1929-08-24T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,55,7847768,13453893,1,,,,55,,,,2025-09-10T00:00:00,2025-09-10T00:00:00,2025-09-10T00:00:00,2025-09-10T00:00:00,None,"{""coordinates"": [[-79.40294300459458, 43.72783499958022]], ""type"": ""MultiPoint""}"
56,0057,YONGE ST,None,FAIRLAWN AVE,None,None,None,1956-08-29T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,56,14036751,13453356,1,,,,56,,,,2025-09-10T00:00:00,2025-09-10T00:00:00,2025-09-10T00:00:00,2025-09-10T00:00:00,None,"{""coordinates"": [[-79.40371499714247, 43.7308669986985]], ""type"": ""MultiPoint""}"
57,0058,YONGE ST,None,YONGE BLVD,PRIVATE ACCESS,None,None,1955-10-12T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,57,3440737,13452847,,,,,57,,,1,2022-06-13T00:00:00,2022-06-13T00:00:00,2025-12-10T00:00:00,2025-12-10T00:00:00,None,"{""coordinates"": [[-79.40457299418838, 43.73436099686689]], ""type"": ""MultiPoint""}"
58,0059,BAY ST,None,FRONT ST W,None,None,None,1928-09-18T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,58,10864309,13467389,1,,,,58,,,,,,,,None,"{""coordinates"": [[-79.37913399618985, 43.645986996674765]], ""type"": ""MultiPoint""}"
59,0060,BAY ST,None,WELLINGTON ST W,None,None,None,1928-09-28T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,59,10224288,13467163,1,,,,59,,,,2022-02-16T00:00:00,2022-02-16T00:00:00,,,None,"{""coordinates"": [[-79.37972900190265, 43.647334003576276]], ""type"": ""MultiPoint""}"
60,0061,BAY ST,None,KING ST W,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,60,8087327,13466960,1,,,,60,,,,,,,,None,"{""coordinates"": [[-79.38027799426453, 43.64865000319741]], ""type"": ""MultiPoint""}"
61,0062,BAY ST,None,ADELAIDE ST W,None,None,None,1928-09-26T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,61,14025268,13466743,,,,,61,1,,,,,2024-06-05T00:00:00,2024-06-05T00:00:00,2024-06-05: not installed on north and south legs due to EB left-turn phase,"{""coordinates"": [[-79.38081000017033, 43.6498919999844]], ""type"": ""MultiPoint""}"
62,0063,BAY ST,None,RICHMOND ST W,None,None,None,1930-12-30T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,62,8067832,13466536,,,,,62,,,,2024-06-17T00:00:00,2024-06-17T00:00:00,2024-06-17T00:00:00,2024-06-17T00:00:00,None,"{""coordinates"": [[-79.38133299424419, 43.651169999110465]], ""type"": ""MultiPoint""}"
63,0064,BAY ST,None,QUEEN ST W,None,None,None,1927-11-02T23:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,63,1145090,13466418,-1,,,,63,,,1,,,,,None,"{""coordinates"": [[-79.38171800562122, 43.65189300019116]], ""type"": ""MultiPoint""}"
64,0065,BAY ST,None,ALBERT ST,None,None,None,1948-11-22T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,64,1145054,13466250,1,,,,64,,,,,,,,None,"{""coordinates"": [[-79.38264099929786, 43.65297000072569]], ""type"": ""MultiPoint""}"
65,0066,DUNDAS ST W,None,BAY ST,None,None,None,1928-06-28T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,65,10906585,13465822,1,1,,,65,,,,,,,,None,"{""coordinates"": [[-79.38376599653549, 43.65571499692397]], ""type"": ""MultiPoint""}"
66,0067,BAY ST,None,GERRARD ST W,None,None,None,1941-04-06T23:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,66,2854201,13465361,1,,,,66,,,,,,,,None,"{""coordinates"": [[-79.38489299657947, 43.658510003244125]], ""type"": ""MultiPoint""}"
67,0068,BAY ST,None,COLLEGE ST,None,None,None,1928-01-28T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,67,7792579,13464999,1,,,,67,,,1,2021-02-25T00:00:00,2021-02-25T00:00:00,2021-02-25T00:00:00,2021-02-25T00:00:00,None,"{""coordinates"": [[-79.38585400507618, 43.66081499635072]], ""type"": ""MultiPoint""}"
68,0069,BAY ST,None,WELLESLEY ST W,None,None,None,1930-12-30T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,68,7754627,13464427,1,,,,68,,,,2025-08-19T00:00:00,2025-08-19T00:00:00,2025-08-19T00:00:00,2025-08-19T00:00:00,None,"{""coordinates"": [[-79.38718300333086, 43.664367002713796]], ""type"": ""MultiPoint""}"
